Brand,Name,Description,Price,Discount,Product URL,Image
Biorepair,Advanced Active Shield,pasta proti zubnímu plaku a pro zdravé dásně 75 ml,107,,https://www.notino.cz/biorepair/advanced-active-shield-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064078_01-o__210205.jpg
Sensodyne,Pronamel Daily Protection,pasta posilující zubní sklovinu pro každodenní použití Mint 75 ml,107,,https://www.notino.cz/sensodyne/pro-namel-zubni-pasta-chranici-zubni-sklovinu/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518572138_01-o__221027.jpg
Sensodyne,Fluoride,zubní pasta pro citlivé zuby,116,,https://www.notino.cz/sensodyne/fluoride-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//sensodyne/4047400470350_01-o__140401.jpg
Marvis,The Mints Cinnamon,zubní pasta,93,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/cinnamon-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395110414_01-o__150112.jpg
Blend-a-med,3D White,zubní pasta s bělicím účinkem 75 ml,38,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/3d-white-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//blend-a-med/ble3dww_ktps05_01__170130.jpg
Signal,White Now Men Super Pure,zubní pasta pro muže s bělicím účinkem 75 ml,102,,https://www.notino.cz/signal/white-now-men-super-pure-zubni-pasta-pro-muze-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//signal/8710908135835_01-o__230216.jpg
Curaprox,Be You Express Yourself,sada zubní péče,376,,https://www.notino.cz/curaprox/be-you-express-yourself-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//curaprox/7612412425673_02-o__180918.jpg
Blend-a-med,Complete Protect 7 Original,zubní pasta pro kompletní ochranu zubů 75 ml,32,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/complete-protect-7-original-zubni-pasta-pro-kompletni-ochranu-zubu/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540391488_01-o__220816.jpg
Biorepair,Plus Parodontgel,zklidňující zubní pasta podporující regeneraci podrážděných dásní 75 ml,105,,https://www.notino.cz/biorepair/plus-parodontal-pasta-posilujici-zubni-sklovinu-proti-parodontoze/,https://cdn.notinoimg.com/list_2k//biorepair/brpprgw_ktps15_01__170410.jpg
Elmex,Opti-namel Seal & Strengthen,zubní pasta chránící zubní sklovinu,167,,https://www.notino.cz/elmex/opti-namel-seal-strengthen-zubni-pasta-chranici-zubni-sklovinu/,https://cdn.notinoimg.com/list_2k//elmex/7610108054824_01-o__230215.jpg
Biorepair,Plus Sensitive Teeth,bioaktivní pasta pro snížení citlivosti zubů a obnovení zubní skloviny 75 ml,127,,https://www.notino.cz/biorepair/plus-sensitive-pasta-obnovujici-zubni-sklovinu-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//biorepair/brpdsbw_ktps10_01__170410.jpg
Eva,Menthol,bělicí zubní pudr 3 v 1 mentol 30 g,99,,https://www.notino.cz/eva/menthol-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385356_01-o__211115.jpg
BlanX,Whitening,zubní pasta pro šetrné bělení a ochranu zubní skloviny 75 ml,99,,https://www.notino.cz/blanx/whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blanx/8017331051474_01-o__210205.jpg
Ecodenta,Expert Black Orange Whitening,černá bělicí zubní pasta bez fluoridu příchuť Orange 100 ml,98,,https://www.notino.cz/ecodenta/expert-black-orange-whitening-cerna-belici-zubni-pasta-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001003367_01-o__210105.jpg
Pink Elephant,Girls,zubní pasta pro děti 50 ml,29,,https://www.notino.cz/pink-elephant/girls-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040913_01__230116.jpg
Lavera,Complete Care,mátová zubní pasta 75 ml,119,,https://www.notino.cz/lavera/complete-care-matova-zubni-pasta/,https://cdn.notinoimg.com/list_2k//lavera/4021457629183_01-o__210325.jpg
Signal,White Now Gold,zubní pasta 75 ml,120,,https://www.notino.cz/signal/white-now-gold-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181327155_01-o__230411.jpg
Elmex,Caries Protection Whitening,bělicí zubní pasta s fluoridem 75 ml,107,,https://www.notino.cz/elmex/caries-protection-whitening-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//elmex/8718951240858_11-o__190416.jpg
Weleda,Dental Care,zubní pasta s mořskou solí 75 ml,127,,https://www.notino.cz/weleda/dental-care-zubni-pasta-s-morskou-soli/,https://cdn.notinoimg.com/list_2k//weleda/4001638098090_01-o__230809.jpg
Sensodyne,Pronamel Whitening,bělicí zubní pasta pro citlivé zuby,102,,https://www.notino.cz/sensodyne/pronamel-whitening-belici-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518582021_01-o__230315.jpg
