Brand,Name,Description,Price,Product URL,Image,Discount Percentage,Discount Description,Discount Amount,Country,Currency,Scraped at
Biorepair,Kids 0-6,zubní pasta pro děti pro obnovení zubní skloviny Strawberry 50 ml,77,https://www.notino.cz/blanx/biorepair-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331035634_01-o__130828.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Parodontax,Complete Protection Extra Fresh,zubní pasta s fluoridem pro zdravé zuby a dásně,128,https://www.notino.cz/parodontax/complete-protection-extra-fresh-zubni-pasta-s-fluoridem-pro-zdrave-zuby-a-dasne/,https://cdn.notinoimg.com/list_2k//parodontax/5054563040596_01-o__180504.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Tołpa,Dentica Ultra White,bělicí zubní pasta 100 ml,34,https://www.notino.cz/tolpa/dentica-ultra-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//tolpa/5902719419249_01-o__210414.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Kids 6+,zubní pasta pro děti,143,https://www.notino.cz/curaprox/kids-6-watermelon-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429480_01-o__211122.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Signal,Integral 8 Natural Elements,zubní pasta,52,https://www.notino.cz/signal/integral-8-natural-elements-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8710447328095_01-o__221019.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
MEDIBLANC,Sensi-Relief,zubní pasta pro citlivé zuby,175,https://www.notino.cz/mediblanc/sensi-relief-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275382412-o__221027.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Meridol,Gum Protection Whitening,bělicí zubní pasta,106,https://www.notino.cz/meridol/dental-care-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//meridol/8718951560352_01-o__230807.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Splat,Biomed Sensitive,bioaktivní zubní pasta pro snížení citlivosti zubů a zdravé dásně 100 g,109,https://www.notino.cz/splat/biomed-sensitive-bioaktivni-zubni-pasta-pro-snizeni-citlivosti-zubu-a-zdrave-dasne/,https://cdn.notinoimg.com/list_2k//splat/2800015078371_01-o__220908.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Enzycal Zero,zubní pasta 75 ml,142,https://www.notino.cz/curaprox/enzycal-zero-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412422849_01-o__150224.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Parodontax,Classic,zubní pasta proti krvácení dásní bez fluoridu,106,https://www.notino.cz/parodontax/classic-zubni-pasta-proti-krvaceni-dasni-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//parodontax/4047400392041_01-o__140428.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
